,federal_district,city,geo_lat,geo_lon
115,Центральный,Радужный,55.9960277,40.3321855
116,Центральный,Собинка,55.9939169,40.0179653
117,Центральный,Струнино,56.374996700000004,38.583966700000005
118,Центральный,Судогда,55.9498056,40.856293900000004
119,Центральный,Суздаль,56.4274441,40.452569200000006
120,Центральный,Юрьев-Польский,56.4937757,39.6680539
121,Южный,Волгоград,48.7070042,44.5170339
122,Южный,Волжский,48.7978209,44.74625379999999
123,Южный,Дубовка,49.055474200000006,44.827008500000005
124,Южный,Жирновск,50.9768814,44.7858202
125,Южный,Калач-на-Дону,48.688902399999996,43.5306303
126,Южный,Камышин,50.0651529,45.38442020000001
127,Южный,Котельниково,47.6310259,43.133087200000006
128,Южный,Котово,50.3205766,44.8030699
129,Южный,Краснослободск,48.706872100000005,44.5630857
130,Южный,Ленинск,48.6936061,45.1992692
131,Южный,Михайловка,50.0708719,43.24015120000001
132,Южный,Николаевск,50.0165306,45.4731658
133,Южный,Новоаннинский,50.5296067,42.666643900000004
134,Южный,Палласовка,50.0500944,46.8804277
135,Южный,Петров Вал,50.1380557,45.209140000000005
136,Южный,Серафимович,49.5663183,42.7360402
137,Южный,Суровикино,48.618916999999996,42.854116299999994
138,Южный,Урюпинск,50.7903789,42.0288513
139,Южный,Фролово,49.7649148,43.6648641
140,Северо-Западный,Бабаево,59.3892583,35.937705799999996
141,Северо-Западный,Белозерск,60.030838100000004,37.789058600000004
142,Северо-Западный,Великий Устюг,60.760391299999995,46.3054414
143,Северо-Западный,Вологда,59.2483905,39.8355662
144,Северо-Западный,Вытегра,61.0063465,36.449513700000004
145,Северо-Западный,Грязовец,58.875755299999994,40.248536200000004
146,Северо-Западный,Кадников,59.5037764,40.3441148
147,Северо-Западный,Кириллов,59.85915229999999,38.3748782
148,Северо-Западный,Красавино,60.9612823,46.4814116
149,Северо-Западный,Никольск,59.535183700000005,45.4576137
150,Северо-Западный,Сокол,59.475860499999996,40.1114187
151,Северо-Западный,Тотьма,59.9734998,42.7589506
152,Северо-Западный,Устюжна,58.838311700000006,36.44254779999999
153,Северо-Западный,Харовск,59.947942299999994,40.200029799999996
154,Северо-Западный,Череповец,59.126921200000005,37.909049700000004
155,Центральный,Бобров,51.0901649,40.0318256
156,Центральный,Богучар,49.9352454,40.5590801
157,Центральный,Борисоглебск,51.3655754,42.1008334
158,Центральный,Бутурлиновка,50.831181799999996,40.5976923
159,Центральный,Воронеж,51.659333200000006,39.1969229
160,Центральный,Калач,50.4242134,41.0162014
161,Центральный,Лиски,50.9945626,39.518490899999996
162,Центральный,Нововоронеж,51.309152399999995,39.2162843
163,Центральный,Новохоперск,51.0952211,41.617340399999996
164,Центральный,Острогожск,50.867790500000005,39.040774600000006
165,Центральный,Павловск,50.453455,40.136874
166,Центральный,Поворино,51.1954419,42.2472726
167,Центральный,Россошь,50.1701949,39.6226965
168,Центральный,Семилуки,51.695164399999996,39.019045399999996
169,Центральный,Эртиль,51.830932000000004,40.8074182
170,Северо-Кавказский,Буйнакск,42.8214424,47.1165263
171,Северо-Кавказский,Дагестанские Огни,42.115229600000006,48.1939354
172,Северо-Кавказский,Дербент,42.058966,48.2907452
173,Северо-Кавказский,Избербаш,42.565096200000006,47.871005100000005
174,Северо-Кавказский,Каспийск,42.891600700000005,47.6367066
175,Северо-Кавказский,Кизилюрт,43.203825,46.8729636
176,Северо-Кавказский,Кизляр,43.848408299999996,46.723369899999994
177,Северо-Кавказский,Махачкала,42.9849159,47.504718100000005
178,Северо-Кавказский,Хасавюрт,43.250466499999995,46.585129200000004
179,Северо-Кавказский,Южно-Сухокумск,44.6602467,45.649952299999995
180,Дальневосточный,Биробиджан,48.7946446,132.92172069999998
181,Дальневосточный,Облучье,49.0189345,131.0540102
182,Дальневосточный,Балей,51.582375899999995,116.63795490000001
183,Дальневосточный,Борзя,50.387605799999996,116.5234779
184,Дальневосточный,Краснокаменск,50.0929703,118.03239359999999
185,Дальневосточный,Могоча,53.73613979999999,119.7660867
186,Дальневосточный,Нерчинск,51.9594977,116.58523829999999
187,Дальневосточный,Петровск-Забайкальский,51.2748592,108.846681
188,Дальневосточный,Сретенск,52.246145399999996,117.7117842
189,Дальневосточный,Хилок,51.363485600000004,110.4590898
190,Дальневосточный,Чита,52.03401420000001,113.4994
191,Дальневосточный,Шилка,51.8497035,116.03344609999999
192,Центральный,Вичуга,57.2044698,41.9132201
193,Центральный,Гаврилов Посад,56.5586946,40.122890600000005
194,Центральный,Заволжск,57.491814100000006,42.1375625
195,Центральный,Иваново,56.9993792,40.972827200000005
196,Центральный,Кинешма,57.4425463,42.168914
