,region,geo_lat,geo_lon,state
0,3,55.72172977825209,37.58223519791802,Москва
1,69,48.71638342307693,133.13483003076922,Еврейская автономная область
2,81,55.730245442293956,37.7647148980676,МО
3,821,53.24546464603127,34.31606875406323,Брянская область
4,1010,56.91644701995032,53.27109834487426,Удмуртия
5,1491,54.610698932620224,39.764003002793714,Рязанская область
6,1901,46.962189200000005,142.7259429,Сахалинская область
7,2072,51.617508597987744,39.305498800046735,Воронежская область
8,2328,54.635031248184475,36.30979109555578,Калужская область
9,2359,53.67610174007737,91.3735045219724,Республика Хакасия
10,2484,61.10953773244476,73.99140037665677,Ханты-Мансийский автономный округ — Югра
11,2528,51.55174803450749,46.04726871842493,Саратовская область
12,2594,58.54658832926098,49.616285363435956,Кировская область
13,2604,57.62906523882765,39.72403266289132,Ярославская область
14,2661,59.935077666777154,30.319848761569975,Санкт-Петербург
15,2722,54.54334140711326,55.73374403266135,Башкортостан
16,2806,52.73211482566304,41.44350725991553,Тамбовская область
17,2814,52.94665937335741,36.14505609892484,Орловская область
18,2843,44.85221481445712,38.89009727844714,Краснодарский край
19,2860,55.12408341049277,86.21477333502096,Кемеровская область
20,2871,56.23296371259885,43.89776789344437,Нижегородская область
21,2880,56.84989459119229,35.88609785970611,Тверская область
22,2885,43.319388551735905,45.708282404761924,Чечня
23,2900,44.61104826998922,42.37391174544698,Ставропольский край
24,2922,55.728042610288355,50.07222745786426,Татарстан
25,3019,56.07990315278761,47.27088605378411,Чувашия
26,3106,53.26797411812527,50.00031933435383,Самарская область
27,3153,51.81856973158535,55.063694747600394,Оренбургская область
28,3230,47.288562950545966,39.760069067532214,Ростовская область
29,3446,60.01007507134197,30.44519542888833,Ленинградская область
30,3870,56.3031441678073,92.74450895101417,Красноярский край
31,3991,57.16775772138986,65.65339108852976,Тюменская область
32,4007,42.898111036735365,47.54157386806459,Дагестан
33,4086,49.27854393432501,135.83931873559325,Хабаровский край
34,4189,57.76135516493358,40.97741041284412,Костромская область
35,4240,52.60052129272692,39.529534587728755,Липецкая область
36,4249,54.26996475751429,48.420025395063256,Ульяновская область
37,4374,59.20408056890092,39.46920763693771,Вологодская область
38,4417,62.88673892589594,53.06624974379289,Коми Республика
39,4695,48.731850201891525,44.522240164591445,Волгоградская область
40,4963,43.41137233333333,132.52187975555555,Приморский край
41,4982,56.58670256466455,47.91034558268684,Марий Эл
42,5143,54.15664291042802,37.69555945237956,Тульская область
43,5178,51.67412340422535,94.3261305354929,Республика Тыва
44,5241,54.1873824666789,45.12788839303372,Мордовия
45,5282,55.048453246582454,61.12668875873201,Челябинская область
46,5368,53.140824912066975,103.67658099076934,Иркутская область
47,5520,58.04037788352873,56.19931100232197,Пермский край
48,5703,55.48529125189125,65.18195785654707,Курганская область
49,5736,58.52134765723174,31.35253338786931,Новгородская область
50,5789,56.15696203297671,40.406866001173114,Владимирская область
51,5794,54.781601439929204,32.13765156185095,Смоленская область
52,5952,50.82498511107941,36.99739795943867,Белгородская область
53,5993,53.18270417322888,44.99414781082284,Пензенская область
54,6171,56.91473133037669,60.60890909343074,Свердловская область
55,6309,51.89265008165472,85.93153747625912,Республика Алтай
56,6543,64.47074613267858,40.52900445475832,Архангельская область
57,6817,53.11903164895252,83.60705104884708,Алтайский край
58,6937,44.85253249005087,34.146598469220066,Республика Крым
59,7121,51.77260194798357,36.114629931735706,Курская область
60,7793,57.60495486519701,28.655818795426566,Псковская область
61,7873,44.60220190783135,33.49053569337348,Севастополь
62,7896,54.727689382014546,20.497280940012867,Калининградская область
63,7929,50.381012189598955,127.50504254061403,Амурская область
64,8090,61.99083036998482,34.080212132857866,Республика Карелия
65,8509,46.327616620166395,44.30485743808328,Калмыкия
66,8640,54.98147570875974,73.36714751856056,Омская область
67,8894,57.042208376936465,41.11625706341211,Ивановская область
68,9579,51.89661123607257,107.60126859604793,Республика Бурятия
69,9648,43.511931246817724,43.62775973549424,Кабардино-Балкария
70,9654,55.000904873415514,82.93645413946419,Новосибирская область
71,10160,51.90219921298866,113.82535200778571,Забайкальский край
72,10201,56.58903455853789,84.8339275606603,Томская область
73,10582,46.39871310816917,48.00257615500323,Астраханская область
74,11171,60.28448485631599,124.35020744750334,Республика Саха (Якутия)
75,11416,44.930184468530385,39.158177379970844,Адыгея
76,11991,44.13696986530557,42.00916912815313,Карачаево-Черкесия
77,13098,53.13280310808821,158.59321084852934,Камчатский край
78,13913,43.24286920960271,44.79608576192057,Ингушетия
79,13919,43.10227990307801,44.639211806825465,Северная Осетия — Алания
80,14368,68.83651976074378,33.114328985123954,Мурманская область
81,14880,65.5556618058139,74.45073880813949,Ямало-Ненецкий автономный округ
82,16705,59.59715263296703,150.83861647252743,Магаданская область
